encoded,item
0,0002005018
1,0002558122
2,0006480764
3,000648302X
4,000649840X
5,0006550576
6,0006742939
7,0007110928
8,0007154615
9,000716226X
10,0007170866
11,0020198817
12,0020198906
13,0020199600
14,002026478X
15,0020360754
16,0020418809
17,0020427859
18,0020442009
19,0020442203
20,0020442300
21,0020442408
22,0020442602
23,0020446500
24,0020518501
25,0020519001
26,0020532105
27,002411510X
28,002542730X
29,0028603958
30,0028604199
31,0028604202
32,0060002050
33,0060002492
34,006000438X
35,0060005424
36,0060007788
37,0060008024
38,0060008032
39,0060008776
40,0060009012
41,0060011912
42,006001203X
43,0060012781
44,0060013125
45,0060083948
46,0060084405
47,0060085444
48,0060085452
49,0060086246
50,0060086386
51,0060090367
52,0060090375
53,0060090383
54,0060096195
55,0060096209
56,0060168013
57,006016848X
58,006017143X
59,0060172916
60,0060173289
61,0060175400
62,0060175532
63,0060175818
64,0060175966
65,006017613X
66,0060176806
67,0060177888
68,006018311X
69,0060184957
70,0060185147
71,0060186526
72,0060187840
73,0060188731
74,0060191988
75,0060192119
76,0060192704
77,0060193611
78,006019443X
79,0060194448
80,0060194790
81,006019491X
82,0060195622
83,0060196092
84,0060196122
85,0060198125
86,0060198133
87,0060198346
88,0060198702
89,0060199652
90,0060248025
91,0060254920
92,0060256656
93,0060256672
94,0060256737
95,0060263857
96,0060294698
97,0060391448
98,0060391502
99,0060391626
100,0060391677
101,0060391782
102,0060392452
103,0060392827
104,0060393211
105,006039384X
106,0060502258
107,0060504072
108,0060504080
109,0060505885
110,0060506679
111,0060507403
112,0060507772
113,0060507845
114,0060508302
115,006050918X
116,0060510323
117,006051261X
118,0060512806
119,0060512822
120,0060513640
121,0060514930
122,0060514949
123,0060514957
124,0060516283
125,0060517611
126,0060517794
127,0060519134
128,0060529709
129,0060532149
130,006053429X
131,0060539860
132,0060540753
133,0060542128
134,0060557257
135,0060557540
136,0060558199
137,0060558865
138,0060559128
139,0060562080
140,0060562250
141,0060652926
142,0060652934
143,0060740450
144,0060807792
145,0060809833
146,0060830956
147,0060907002
148,0060913983
149,0060914653
150,0060915153
151,0060915544
152,006091565X
153,0060916508
154,0060917016
155,0060919655
156,0060919884
157,0060920084
158,0060921056
159,0060921145
160,0060922249
161,0060922532
162,0060923245
163,0060924349
164,0060924837
165,0060924985
166,0060926201
167,0060926317
168,0060927216
169,0060927240
170,0060927569
171,0060928336
172,0060929596
173,0060929790
174,0060929871
175,006092988X
176,0060930187
177,0060930535
178,006093090X
179,0060930934
180,0060931221
181,0060931418
182,0060931671
183,0060931809
184,0060932139
185,0060932171
186,0060932759
187,0060932813
188,0060932902
189,0060934417
190,0060934700
191,0060934719
192,0060934913
193,0060935464
194,0060936231
195,0060936363
196,0060937319
197,0060938412
198,0060938455
199,0060951311
200,0060952970
201,0060953691
202,0060955570
203,0060955775
204,0060958022
205,0060959037
206,0060959355
207,0060964049
208,0060970790
209,0060971479
210,0060972122
211,0060972459
212,0060973897
213,0060975547
214,0060975849
215,0060976241
216,0060976497
217,0060976845
218,0060977337
219,0060977477
220,0060977493
221,0060977744
222,0060981180
223,0060987049
224,0060987103
225,0060987219
226,006098726X
227,0060987324
228,0060987529
229,0060987561
230,006098824X
231,0060988258
232,0060988649
233,006099486X
234,0061000019
235,0061000027
236,0061000043
237,0061000078
238,0061000175
239,0061000280
240,0061006629
241,0061007129
242,0061007145
243,0061007226
244,0061009059
245,0061009504
246,0061012165
247,0061012513
248,0061013412
249,0061013420
250,0061013439
251,006101351X
252,0061014176
253,0061014591
254,0061015725
255,0061020397
256,0061020400
257,0061020621
258,0061020648
259,0061020656
260,0061020680
261,0061020699
262,0061020702
263,0061020710
264,0061030430
265,0061030597
266,0061030635
267,0061030643
268,0061031070
269,0061031089
270,0061031321
271,0061031410
272,0061031429
273,0061031550
274,0061031844
275,0061031992
276,0061032093
277,0061032425
278,0061040347
279,0061042005
280,0061042943
281,0061044431
282,006104444X
283,0061044636
284,0061052477
285,0061052892
286,0061053104
287,0061054151
288,0061054437
289,0061054895
290,0061054909
291,0061056901
292,0061056928
293,0061057363
294,0061057649
295,0061057894
296,0061059056
297,0061059064
298,0061059072
299,0061073628
300,0061083259
301,0061090808
302,0061090891
303,0061091316
304,006109157X
305,0061091790
306,0061091944
307,0061092002
308,0061092037
309,0061092088
310,0061092177
311,0061092193
312,0061092533
313,0061092606
314,0061092614
315,0061092827
316,0061092886
317,0061093084
318,0061093106
319,0061093327
320,0061093335
321,0061093343
322,0061093491
323,006109398X
324,0061094110
325,0061094129
326,0061094234
327,0061094404
328,0061095540
329,006109594X
330,0061096105
331,0061096113
332,0061097101
333,0061097314
334,0061097349
335,0061097659
336,0061097667
337,0061097853
338,0061097861
339,0061097934
340,0061098035
341,006109868X
342,0061098752
343,0061098795
344,0061099015
345,0061099058
346,0061099155
347,006109918X
348,006109921X
349,0061099252
350,0061099325
351,0061099341
352,0061099368
353,0061099643
354,0061099694
355,0061099708
356,0061099732
357,0061099805
358,0061099813
359,0062501860
360,0062502174
361,0062502182
362,0062505319
363,0062507249
364,0062508113
365,0062512021
366,0062512668
367,006251279X
368,0062513346
369,0062513591
370,0062516590
371,0062548662
372,0064400018
373,0064400026
374,0064400034
375,0064400042
376,0064400050
377,0064400069
378,0064400077
379,0064400085
380,006440031X
381,0064400557
382,0064400565
383,0064400581
384,0064400859
385,0064400964
386,0064401103
387,0064401774
388,0064401847
389,0064401871
390,006440188X
391,0064402053
392,0064402967
